Tenor,Maturity_Years,Correlation,Correlation_Pct
1Y,1.0,0.5626991769445019,56.269917694450186
2Y,2.0,0.5688202564087141,56.88202564087141
3Y,3.0,0.5776228567159976,57.762285671599756
5Y,5.0,0.6213839583622177,62.13839583622177
7Y,7.0,0.6315427366558761,63.15427366558761
10Y,10.0,0.6493049346228682,64.93049346228682
