Tranche,Model,Market,Error
equity_0_3,28.29 %,28.30 %,0.01 %
mezz_3_7,405.20 bps,95.08 bps,310.12 bps
mezz_7_10,184.32 bps,113.10 bps,71.22 bps
senior_10_15,87.34 bps,55.94 bps,31.40 bps
senior_15_100,3.44 bps,21.72 bps,18.28 bps
